2026-04-07 17:34:12 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=21.6, vvm=0.843981, potency=15.6%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:34:12 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=21.6, vvm=0.843981, potency=15.6%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:34:15 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=21.2, vvm=0.861998, potency=13.8%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:34:15 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=21.2, vvm=0.861998, potency=13.8%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:34:18 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=25.7, vvm=0.879082, potency=12.1%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:34:18 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=25.7, vvm=0.879082, potency=12.1%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:34:21 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=24.9, vvm=0.896412, potency=10.4%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:34:21 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=24.9, vvm=0.896412, potency=10.4%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:34:25 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=20.5, vvm=0.915934, potency=8.4%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:34:25 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=20.5, vvm=0.915934, potency=8.4%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:34:28 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=21.4, vvm=0.934258, potency=6.6%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:34:28 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=21.4, vvm=0.934258, potency=6.6%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:34:31 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=27.5, vvm=0.951253, potency=4.9%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:34:31 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=27.5, vvm=0.951253, potency=4.9%, exposure=0min, anomaly=False, eta=None
